"condition1","condition2","t_statistic","df","p_value","mean_cond1","mean_cond2","method"
"WT+DMSO","14E06",3.70980522798616,15.1766837356559,0.00205960125933274,45999.125,24494.5,"Welch Two Sample t-test"
"WT+DMSO","14E07",2.81927771010607,1.63162566114754,0.132692833151767,45999.125,11198.5,"Welch Two Sample t-test"
"WT+DMSO","14E08",3.52113126308652,8.50282366622692,0.00711070770424249,45999.125,21853.5,"Welch Two Sample t-test"
"WT+DMSO","14E09",3.47824714886086,2.03912443115759,0.0716278913297231,45999.125,9550.5,"Welch Two Sample t-test"
"WT+DMSO","14E10",2.24486293244881,7.26069871124473,0.0583100992223796,45999.125,30173,"Welch Two Sample t-test"
"WT+DMSO","14E11",4.37318607705057,2.99229102820546,0.0222395813186035,45999.125,7584.5,"Welch Two Sample t-test"
"WT+DMSO","14F02",2.48082492132205,11.7464280788081,0.0292955819300438,45999.125,29888,"Welch Two Sample t-test"
"WT+DMSO","14F03",-0.401375584194348,1.52134992596175,0.737307851887578,45999.125,51310,"Welch Two Sample t-test"
"WT+DMSO","14F04",0.148393198195169,1.25682022383659,0.902233570641732,45999.125,43395,"Welch Two Sample t-test"
"WT+DMSO","14F05",2.82240415942188,2.96326893156428,0.0675655430408402,45999.125,21119.5,"Welch Two Sample t-test"
"WT+DMSO","14F06",1.46041739705057,3.66984568407084,0.224104529343602,45999.125,33989,"Welch Two Sample t-test"
"WT+DMSO","14F07",3.36748586705309,2.91918392587291,0.0452988374527076,45999.125,16151.5,"Welch Two Sample t-test"
"WT+DMSO","14F08",2.11597628980944,1.3695870481245,0.224052391780969,45999.125,14035,"Welch Two Sample t-test"
"WT+DMSO","14F09",-0.690978413164547,14.1475544121022,0.500760254939794,45999.125,50330.5,"Welch Two Sample t-test"
"WT+DMSO","14F10",3.40236240814406,15.9222751146572,0.00366327302808948,45999.125,25873,"Welch Two Sample t-test"
"WT+DMSO","14F11",0.486171441340691,1.1906674118795,0.701136647978196,45999.125,36294.5,"Welch Two Sample t-test"
"WT+DMSO","14G02",3.90307327858639,15.1868362859208,0.00138268355460648,45999.125,23370,"Welch Two Sample t-test"
"WT+DMSO","14G03",2.31121079580843,5.89418505542731,0.0609386926281334,45999.125,29044,"Welch Two Sample t-test"
"WT+DMSO","14G04",0.0105487095107766,3.08932062911648,0.99222792670315,45999.125,45907.5,"Welch Two Sample t-test"
"WT+DMSO","14G05",1.02436125865779,1.31372206027647,0.457665449072239,45999.125,29463.5,"Welch Two Sample t-test"
"WT+DMSO","14G06",0.452725109830098,1.13178381311942,0.722192620269524,45999.125,35331.5,"Welch Two Sample t-test"
"WT+DMSO","14G07",4.04057676191209,2.46734870267961,0.0390499929237597,45999.125,7643,"Welch Two Sample t-test"
"WT+DMSO","14G08",1.86422519210136,2.38331352034643,0.182478580285948,45999.125,28016.5,"Welch Two Sample t-test"
"WT+DMSO","14G09",2.24067052608732,1.81103380165712,0.167430563274268,45999.125,20602.5,"Welch Two Sample t-test"
"WT+DMSO","14G10",7.14234859070878,15.2661997559983,3.0572503175564e-06,45999.125,2110,"Welch Two Sample t-test"
"WT+DMSO","14G11",7.14000487431828,15.9959587089806,2.35026073649496e-06,45999.125,3471.5,"Welch Two Sample t-test"
"WT+DMSO","14H02",6.5530194414275,15.1203604482233,8.79563387502392e-06,45999.125,8051.5,"Welch Two Sample t-test"
"WT+DMSO","14H03",2.04598630888456,1.45002761195592,0.223481905582157,45999.125,17383.5,"Welch Two Sample t-test"
"WT+DMSO","14H04",2.09711050598654,1.63188177696585,0.198885052115436,45999.125,20116.5,"Welch Two Sample t-test"
"WT+DMSO","14H05",0.505840539878628,1.286248481787,0.685958825721551,45999.125,37518,"Welch Two Sample t-test"
"WT+DMSO","14H06",5.70949866896542,15.9979022866099,3.22713687145193e-05,45999.125,11972.5,"Welch Two Sample t-test"
"WT+DMSO","14H07",1.09024052046612,1.18741039819491,0.449039389575414,45999.125,24070.5,"Welch Two Sample t-test"
"WT+DMSO","14H08",-0.10808161826095,1.04733861332443,0.930847642636493,45999.125,50128.5,"Welch Two Sample t-test"
"WT+DMSO","14H09",7.83106354775194,15.0837784464251,1.07867267591629e-06,45999.125,679.5,"Welch Two Sample t-test"
"WT+DMSO","14H10",1.62436948487992,1.25028215497863,0.312905142259718,45999.125,17179.5,"Welch Two Sample t-test"
"WT+DMSO","14H11",0.786823969539219,1.12036246262728,0.563795133441052,45999.125,26672,"Welch Two Sample t-test"
"14A02","14A03",-9.88538410501682,1.00000002669905,0.0641817664176917,39.5,42818.5,"Welch Two Sample t-test"
"14A02","14A04",-6.62563315333823,1.00000001826912,0.0953645907423583,39.5,34701.5,"Welch Two Sample t-test"
"14A02","14A05",-6.4860312131506,1.00000000688958,0.0973856261259812,39.5,55294,"Welch Two Sample t-test"
"14A02","14A06",-2.34816563119699,1.00000000169829,0.256304724883839,39.5,40330.5,"Welch Two Sample t-test"
"14A02","14A07",-32.0044370432068,1.00000061659865,0.0198851000787832,39.5,28859.5,"Welch Two Sample t-test"
"14A02","14A08",-4.50006161334415,1.00000000759451,0.139207127299579,39.5,36553,"Welch Two Sample t-test"
"14A02","14A09",-1.39481232706828,1.00000000061183,0.395981564509009,39.5,39913,"Welch Two Sample t-test"
"14A02","14A10",-4.0586276599538,1.00000000852477,0.153792640123668,39.5,31122.5,"Welch Two Sample t-test"
"14A02","14A11",-3.30159936098807,1.00000000261866,0.18722994562668,39.5,45661,"Welch Two Sample t-test"
"14A02","MUT+DMSO",-6.50729904280209,15.0000007681366,9.90401856155388e-06,39.5,20373,"Welch Two Sample t-test"
"14A02","14B02",-4.65721356685416,1.00000001000302,0.134650906769662,39.5,32966,"Welch Two Sample t-test"
"14A02","14B03",-3.76931368529627,1.00000000526996,0.165092243988605,39.5,36754.5,"Welch Two Sample t-test"
"14A02","14B04",-5.55279636248048,1.00000002414637,0.113432634448717,39.5,25307.5,"Welch Two Sample t-test"
"14A02","14B05",-13.1593220436845,1.0000005248925,0.0482849924113522,39.5,12883,"Welch Two Sample t-test"
"14A02","14B06",-1.18632726892741,1.000000001134,0.445875584017551,39.5,24950,"Welch Two Sample t-test"
"14A02","14B07",-1.20253263057316,1.00000000134671,0.441624157311693,39.5,23210.5,"Welch Two Sample t-test"
"14A02","14B08",-2.03960395672402,1.00000000720144,0.290203438085844,39.5,17034.5,"Welch Two Sample t-test"
"14A02","14B09",-1.07204890466223,1.00000000470795,0.477872488419576,39.5,11087.5,"Welch Two Sample t-test"
"14A02","14B10",-1.718174528393,1.0000000261643,0.335555147993387,39.5,7550.5,"Welch Two Sample t-test"
"14A02","14B11",-1.0079445411043,1.00000000188178,0.497481192354507,39.5,16469.5,"Welch Two Sample t-test"
"14A02","14C02",-1.05681076584217,1.00000000332651,0.482420519555464,39.5,12996,"Welch Two Sample t-test"
"14A02","14C03",-1.19758870331047,1.00000000780469,0.442913999616093,39.5,9625,"Welch Two Sample t-test"
"14A02","14C04",-1.04498305725519,1.00000000239097,0.485998667905802,39.5,15151,"Welch Two Sample t-test"
"14A02","14C05",-1.12333077182613,1.00000001177989,0.463064306564031,39.5,7358,"Welch Two Sample t-test"
"14A02","14C06",-1.57908302932431,1.00000000601542,0.359391314858987,39.5,14436,"Welch Two Sample t-test"
"14A02","14C07",-1.13297428470192,1.00000000127867,0.460363027253342,39.5,22443.5,"Welch Two Sample t-test"
"14A02","14C08",-0.993661796290921,1.00000002860287,0.502023916346031,39.5,4194,"Welch Two Sample t-test"
"14A02","14C09",-1.60287148512161,1.00000000440292,0.355102534576483,39.5,17120.5,"Welch Two Sample t-test"
"14A02","14C10",-1.16941726818925,1.00000000361847,0.450384865474369,39.5,13786,"Welch Two Sample t-test"
"14A02","14C11",-1.54470648891782,1.00000000839601,0.365754401953196,39.5,11960,"Welch Two Sample t-test"
"14A02","14D02",-5.53340868786942,1.00000002113406,0.113821672909623,39.5,26954,"Welch Two Sample t-test"
"14A02","14D03",-6.75098305821456,1.00000001932935,0.0936195471716265,39.5,34375,"Welch Two Sample t-test"
"14A02","14D04",-1.77352119618349,1.00000000843203,0.326849769274387,39.5,13696.5,"Welch Two Sample t-test"
"14A02","14D05",-44.2422692921704,1.00000073372928,0.0143869137421044,39.5,36561.5,"Welch Two Sample t-test"
"14A02","14D06",-2.9396415902972,1.00000001124381,0.208746110789619,39.5,19642.5,"Welch Two Sample t-test"
"14A02","14D07",-9.19943059777256,1.00000032995438,0.0689313856444081,39.5,11364,"Welch Two Sample t-test"
"14A02","14D08",-1.43208297651259,1.00000000448631,0.388066263534785,39.5,15158,"Welch Two Sample t-test"
"14A02","14D09",-88.7119666715487,1.00000580435268,0.00717577316397735,39.5,26076.5,"Welch Two Sample t-test"
"14A02","14D10",-4.60329549409706,1.00000000495629,0.136180653403193,39.5,46275,"Welch Two Sample t-test"
"14A02","14D11",-1.70004669178335,1.00000000193795,0.33849841309447,39.5,27346.5,"Welch Two Sample t-test"
"14A02","14E02",-1.61317070631612,1.00000000464822,0.353273976624299,39.5,16770.5,"Welch Two Sample t-test"
"14A02","14E03",-2.95525700410199,1.00000002465299,0.207719921887781,39.5,13348.5,"Welch Two Sample t-test"
"14A02","14E04",-26.0497893010591,1.00000093059787,0.0244265129487967,39.5,19134,"Welch Two Sample t-test"
"14A02","14E05",-2.62453918054443,1.00000001284518,0.231753382712906,39.5,16414,"Welch Two Sample t-test"
"14A02","14E06",-53.9249947881913,1.00000243117052,0.0118041910192416,39.5,24494.5,"Welch Two Sample t-test"
"14A02","14E07",-1.02305752814813,1.00000000420261,0.492744524701752,39.5,11198.5,"Welch Two Sample t-test"
"14A02","14E08",-5.90925092778097,1.0000000366914,0.106721648143403,39.5,21853.5,"Welch Two Sample t-test"
"14A02","14E09",-1.08802836863715,1.00000000654332,0.473176879719563,39.5,9550.5,"Welch Two Sample t-test"
"14A02","14E10",-7.46248136924023,1.00000003066461,0.0848041892690754,39.5,30173,"Welch Two Sample t-test"
"14A02","14E11",-1.14050336005595,1.0000000114247,0.458271924376659,39.5,7584.5,"Welch Two Sample t-test"
"14A02","14F02",-10.0737426847855,1.0000000569517,0.0629895840501598,39.5,29888,"Welch Two Sample t-test"
"14A02","14F03",-4.30735948540419,1.00000000352904,0.145225477890009,39.5,51310,"Welch Two Sample t-test"
"14A02","14F04",-2.61650573206166,1.00000000182106,0.232403463890255,39.5,43395,"Welch Two Sample t-test"
"14A02","14F05",-3.16682940592372,1.00000001128439,0.194719140934498,39.5,21119.5,"Welch Two Sample t-test"
"14A02","14F06",-5.80234145890267,1.00000001460528,0.108650394084051,39.5,33989,"Welch Two Sample t-test"
"14A02","14F07",-2.39744065998186,1.00000001107049,0.251573074360257,39.5,16151.5,"Welch Two Sample t-test"
"14A02","14F08",-1.00275847180764,1.00000000256676,0.499123160735195,39.5,14035,"Welch Two Sample t-test"
"14A02","14F09",-20.7086674630765,1.00000008478007,0.0307178375051862,39.5,50330.5,"Welch Two Sample t-test"
"14A02","14F10",-20.4540759902183,1.00000031344641,0.0310995574675755,39.5,25873,"Welch Two Sample t-test"
"14A02","14F11",-1.89752178512998,1.00000000136964,0.308770808576004,39.5,36294.5,"Welch Two Sample t-test"
"14A02","14G02",-49.9582154772815,1.00000229264199,0.0127412345643134,39.5,23370,"Welch Two Sample t-test"
"14A02","14G03",-6.41834472725431,1.00000002448417,0.0983964357635584,39.5,29044,"Welch Two Sample t-test"
"14A02","14G04",-7.07348289978354,1.00000001189096,0.0894083832357985,39.5,45907.5,"Welch Two Sample t-test"
"14A02","14G05",-1.95216453699189,1.0000000022009,0.301376450337884,39.5,29463.5,"Welch Two Sample t-test"
"14A02","14G06",-1.5449471399543,1.00000000095817,0.365709163736515,39.5,35331.5,"Welch Two Sample t-test"
"14A02","14G07",-1.00962687335575,1.00000000881586,0.496950372483983,39.5,7643,"Welch Two Sample t-test"
"14A02","14G08",-3.62232147878229,1.00000000838189,0.17147801789442,39.5,28016.5,"Welch Two Sample t-test"
"14A02","14G09",-2.10891748863791,1.00000000525916,0.281880313776542,39.5,20602.5,"Welch Two Sample t-test"
"14A02","14G10",-0.991144059690126,1.00000011457586,0.502831437292938,39.5,2110,"Welch Two Sample t-test"
"14A02","14G11",-2.37920263003808,1.00000024029147,0.253304929960171,39.5,3471.5,"Welch Two Sample t-test"
"14A02","14H02",-21.5666022702763,1.00000362286681,0.0294973437780611,39.5,8051.5,"Welch Two Sample t-test"
"14A02","14H03",-1.36175558329489,1.00000000308226,0.403239518258515,39.5,17383.5,"Welch Two Sample t-test"
"14A02","14H04",-1.84099765979536,1.00000000420416,0.316778778192213,39.5,20116.5,"Welch Two Sample t-test"
"14A02","14H05",-2.38125039590114,1.00000000201844,0.253109395418331,39.5,37518,"Welch Two Sample t-test"
"14A02","14H06",-8.19292776990397,1.00000023569427,0.0773210818402068,39.5,11972.5,"Welch Two Sample t-test"
"14A02","14H07",-1.24735926873981,1.00000000134713,0.430210326107792,39.5,24070.5,"Welch Two Sample t-test"
"14A02","14H08",-1.32628122795626,1.00000000035056,0.411287238848337,39.5,50128.5,"Welch Two Sample t-test"
"14A02","14H09",-2.07455157024473,1.00000525363223,0.28594951911923,39.5,679.5,"Welch Two Sample t-test"
"14A02","14H10",-1.02178902455428,1.00000000177693,0.49313934976768,39.5,17179.5,"Welch Two Sample t-test"
"14A02","14H11",-1.11554410631479,1.00000000087724,0.465264419300493,39.5,26672,"Welch Two Sample t-test"
"14A03","14A04",1.19554145349049,1.93210030460511,0.358040376969126,42818.5,34701.5,"Welch Two Sample t-test"
"14A03","14A05",-1.30563295589907,1.48387184491923,0.357971415468309,42818.5,55294,"Welch Two Sample t-test"
"14A03","14A06",0.140598324895041,1.12670445336722,0.909052387718829,42818.5,40330.5,"Welch Two Sample t-test"
"14A03","14A07",3.15800283298613,1.08643900612202,0.179068165625127,42818.5,28859.5,"Welch Two Sample t-test"
"14A03","14A08",0.681337555168267,1.52631306549534,0.584160146474461,42818.5,36553,"Welch Two Sample t-test"
"14A03","14A09",0.100492195065159,1.04580775210821,0.935688378631037,42818.5,39913,"Welch Two Sample t-test"
"14A03","14A10",1.32960713776322,1.57950355164761,0.343493003359023,42818.5,31122.5,"Welch Two Sample t-test"
"14A03","14A11",-0.196308066694122,1.19429243832086,0.872418706954349,42818.5,45661,"Welch Two Sample t-test"
"14A03","MUT+DMSO",4.20508081947713,2.27337784976219,0.0415479865462624,42818.5,20373,"Welch Two Sample t-test"
"14A03","14B02",1.18858338457433,1.65708262979722,0.377340754315375,42818.5,32966,"Welch Two Sample t-test"
"14A03","14B03",0.568933151768694,1.37996417985059,0.648023871471219,42818.5,36754.5,"Welch Two Sample t-test"
"14A03","14B04",2.78852051686872,1.99497161741585,0.108440248696712,42818.5,25307.5,"Welch Two Sample t-test"
"14A03","14B05",6.74801159683569,1.10146897378439,0.0788252435244049,42818.5,12883,"Welch Two Sample t-test"
"14A03","14B06",0.833446348638595,1.08479407843214,0.548675562836903,42818.5,24950,"Welch Two Sample t-test"
"14A03","14B07",0.99288668601335,1.10062474469771,0.489908944985384,42818.5,23210.5,"Welch Two Sample t-test"
"14A03","14B08",2.74612239480104,1.50286803470002,0.149947044483343,42818.5,17034.5,"Welch Two Sample t-test"
"14A03","14B09",2.8388952598444,1.34203290678826,0.161499720796967,42818.5,11087.5,"Welch Two Sample t-test"
"14A03","14B10",5.73351487672289,1.99979536024017,0.0291054794470916,42818.5,7550.5,"Welch Two Sample t-test"
"14A03","14B11",1.56233341550127,1.14026530037969,0.339814883532654,42818.5,16469.5,"Welch Two Sample t-test"
"14A03","14C02",2.29380192541067,1.24537667649142,0.220486195271773,42818.5,12996,"Welch Two Sample t-test"
"14A03","14C03",3.64804989511861,1.53861636226624,0.0986845165453379,42818.5,9625,"Welch Two Sample t-test"
"14A03","14C04",1.83293692595836,1.17767998203454,0.288166508251621,42818.5,15151,"Welch Two Sample t-test"
"14A03","14C05",4.53384644077181,1.73863302225306,0.0584743213289828,42818.5,7358,"Welch Two Sample t-test"
"14A03","14C06",2.81239710863009,1.42884050183223,0.153145303682849,42818.5,14436,"Welch Two Sample t-test"
"14A03","14C07",1.00654649363159,1.09556484277094,0.486006307654931,42818.5,22443.5,"Welch Two Sample t-test"
"14A03","14C08",6.4188983570188,1.9976325142868,0.0234903164225685,42818.5,4194,"Welch Two Sample t-test"
"14A03","14C09",2.23428562610301,1.32108650284446,0.216565360553904,42818.5,17120.5,"Welch Two Sample t-test"
"14A03","14C10",2.31773023391401,1.26616700123496,0.2151215275003,42818.5,13786,"Welch Two Sample t-test"
"14A03","14C11",3.48779715760534,1.57233822652472,0.102197036156057,42818.5,11960,"Welch Two Sample t-test"
"14A03","14D02",2.43678067259929,1.97329063883326,0.136790591375601,42818.5,26954,"Welch Two Sample t-test"
"14A03","14D03",1.26439018787246,1.95000982462915,0.336247306746412,42818.5,34375,"Welch Two Sample t-test"
"14A03","14D04",3.29688979261936,1.5743491501308,0.110612764593034,42818.5,13696.5,"Welch Two Sample t-test"
"14A03","14D05",1.42026000929592,1.07268006881783,0.378854661355645,42818.5,36561.5,"Welch Two Sample t-test"
"14A03","14D06",2.91536661853814,1.71538787164351,0.119568271989734,42818.5,19642.5,"Welch Two Sample t-test"
"14A03","14D07",6.99116342511103,1.16078207132415,0.0686415428959038,42818.5,11364,"Welch Two Sample t-test"
"14A03","14D08",2.42433177729641,1.32683666180993,0.196653617640888,42818.5,15158,"Welch Two Sample t-test"
"14A03","14D09",3.85987917492877,1.00919947121469,0.159610913278995,42818.5,26076.5,"Welch Two Sample t-test"
"14A03","14D10",-0.316048899530567,1.35890278745647,0.793632163648092,42818.5,46275,"Welch Two Sample t-test"
"14A03","14D11",0.93007382664021,1.14440949435197,0.506760070668575,42818.5,27346.5,"Welch Two Sample t-test"
"14A03","14E02",2.31782606791053,1.33795058736269,0.205622771280722,42818.5,16770.5,"Welch Two Sample t-test"
"14A03","14E03",4.71844629044345,1.99682998210229,0.0422292666986893,42818.5,13348.5,"Welch Two Sample t-test"
"14A03","14E04",5.39616026893156,1.05733323651129,0.107049038108503,42818.5,19134,"Welch Two Sample t-test"
"14A03","14E05",3.47751761174225,1.7813606469036,0.0866774017667244,42818.5,16414,"Welch Two Sample t-test"
"14A03","14E06",4.21125461966807,1.02196130032126,0.144317447617769,42818.5,24494.5,"Welch Two Sample t-test"
"14A03","14E07",2.69459571108657,1.30720223239156,0.176368266670436,42818.5,11198.5,"Welch Two Sample t-test"
"14A03","14E08",3.68576804329799,1.95150936928348,0.0688798509967695,42818.5,21853.5,"Welch Two Sample t-test"
"14A03","14E09",3.41069321869087,1.46238176002488,0.115844652780425,42818.5,9550.5,"Welch Two Sample t-test"
"14A03","14E10",2.13648180879608,1.99048753266043,0.166741451460483,42818.5,30173,"Welch Two Sample t-test"
"14A03","14E11",4.45706946363271,1.72336237013587,0.0610577899130509,42818.5,7584.5,"Welch Two Sample t-test"
"14A03","14F02",2.46545263375027,1.76866908670623,0.14867182561347,42818.5,29888,"Welch Two Sample t-test"
"14A03","14F03",-0.670456339171425,1.25981795442907,0.604178303703504,42818.5,51310,"Welch Two Sample t-test"
"14A03","14F04",-0.0336627109065373,1.13578237251531,0.978066670806746,42818.5,43395,"Welch Two Sample t-test"
"14A03","14F05",2.73303089022796,1.71718838047139,0.131494439832134,42818.5,21119.5,"Welch Two Sample t-test"
"14A03","14F06",1.21326633642154,1.84207866758306,0.357764037920848,42818.5,33989,"Welch Two Sample t-test"
"14A03","14F07",3.33618127014667,1.70762102605406,0.0979352909615649,42818.5,16151.5,"Welch Two Sample t-test"
"14A03","14F08",1.96978637724123,1.19051297010506,0.26675315842681,42818.5,14035,"Welch Two Sample t-test"
"14A03","14F09",-1.5138004125739,1.57301374978491,0.300312770174739,42818.5,50330.5,"Welch Two Sample t-test"
"14A03","14F10",3.75895061852781,1.16913088150707,0.136722700123525,42818.5,25873,"Welch Two Sample t-test"
"14A03","14F11",0.333019462437552,1.10232941070106,0.791269171404299,42818.5,36294.5,"Welch Two Sample t-test"
"14A03","14G02",4.46822309730353,1.02328792047031,0.13588772748103,42818.5,23370,"Welch Two Sample t-test"
"14A03","14G03",2.20149462672129,1.99626177741189,0.158879723324912,42818.5,29044,"Welch Two Sample t-test"
"14A03","14G04",-0.396234114426462,1.74330285992675,0.735089369567018,42818.5,45907.5,"Welch Two Sample t-test"
"14A03","14G05",0.85164380966926,1.16375417988351,0.534062092494249,42818.5,29463.5,"Welch Two Sample t-test"
"14A03","14G06",0.322024409975901,1.07168361014976,0.79885322580759,42818.5,35331.5,"Welch Two Sample t-test"
"14A03","14G07",4.04976832425895,1.59546518526525,0.0803814858350643,42818.5,7643,"Welch Two Sample t-test"
"14A03","14G08",1.6719318761842,1.57154821401027,0.268879700242825,42818.5,28016.5,"Welch Two Sample t-test"
"14A03","14G09",2.08255115178852,1.37924345730583,0.226976286767085,42818.5,20602.5,"Welch Two Sample t-test"
"14A03","14G10",8.47153408570278,1.44204677487055,0.0333808026126905,42818.5,2110,"Welch Two Sample t-test"
"14A03","14G11",8.62572888004473,1.21951219512195,0.0483852780500894,42818.5,3471.5,"Welch Two Sample t-test"
"14A03","14H02",8.0045278915193,1.01473838484355,0.0769453690184114,42818.5,8051.5,"Welch Two Sample t-test"
"14A03","14H03",1.890852370188,1.22785267436608,0.272347372971573,42818.5,17383.5,"Welch Two Sample t-test"
"14A03","14H04",1.93492740110737,1.30730946860639,0.255381685380375,42818.5,20116.5,"Welch Two Sample t-test"
"14A03","14H05",0.324723989443299,1.15034009374644,0.794467843583604,42818.5,37518,"Welch Two Sample t-test"
"14A03","14H06",6.75553736736486,1.22368631506037,0.0644751777405471,42818.5,11972.5,"Welch Two Sample t-test"
"14A03","14H07",0.949479754131296,1.10065592631533,0.504592363209667,42818.5,24070.5,"Welch Two Sample t-test"
"14A03","14H08",-0.192299465392375,1.02625522887044,0.87843470987452,42818.5,50128.5,"Welch Two Sample t-test"
"14A03","14H09",9.71284363368257,1.0101637731431,0.0639447658719303,42818.5,679.5,"Welch Two Sample t-test"
